System,Plot Location,Monitoring Period,Month,Year,lat,lon,Depth (m),Average Flow Speed (mps),Maximum Flow Speed (mps),Survival Percentage (%),Number of Days,Living Mussel Count,Ash Free Dry Weight (g),Cooked Flesh Weight (g),Individual Weight (g),Mussel Size Measure,Shell Length (mm),Growth (g per day),Growth (mm per day),Sea Surface Temperature (C),Chlorophyll (mg per m3),Turbidity (FTU),Precipitation
OS,Hammen 102,3.0,Juli,2018.0,51.64883,3.8421,-9.48,0.29,0.68,80.0,33.0,64.0,0.431403,26.6,7.14,97.910461,44.13,0.0255,0.0415,19.070824980582525,3.293569088051884,3.988907508091511,288.0
OS,Hammen 102,4.0,Augustus,2018.0,51.64883,3.8421,-9.48,0.29,0.68,85.0,34.0,66.0,0.571272,26.474043,8.764412,80.186785,47.0,0.0478,0.0844,21.709655349514563,2.098029698785303,3.8538192456040257,1784.0
OS,Hammen 102,5.0,September,2018.0,51.64883,3.8421,-9.48,0.29,0.68,70.178,45.0,77.0,0.7307045000000001,26.422147,10.742154,65.762569,50.655385,0.0439,0.0812,18.44214747572816,2.180622678322949,2.08575349280798,1048.0
OS,Hammen 102,6.0,Oktober,2018.0,51.64883,3.8421,-9.48,0.29,0.68,65.0,15.0,52.0,0.819506,30.191525,11.346154,62.348342,51.82,0.0403,0.0776,15.694192737864077,1.669783829378882,1.58510513210084,1546.0
OS,Hammen 102,0.0,April,2019.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.3022289999999999,12.8,2.74,249.028309,31.791375,0.0,0.0,9.164593106796117,0.3692052098333333,5.6853938333333325,366.0
OS,Hammen 102,1.0,Mei,2019.0,51.64883,3.8421,-9.48,0.29,0.68,82.5,40.0,75.0,0.2661923333333333,32.26461,3.733333,184.210723,35.962273,0.0248,0.1043,11.732378065533975,5.309979431028268,4.571585571796537,578.0
OS,Hammen 102,2.0,Juni,2019.0,51.64883,3.8421,-9.48,0.29,0.68,35.0,28.0,68.5,0.379086,13.62,5.57,124.729719,40.92,0.0656,0.1771,15.939980847087378,1.7950127505778568,2.917458934507464,1320.0
OS,Hammen 102,3.0,Juli,2019.0,51.64883,3.8421,-9.48,0.29,0.68,40.0,28.0,62.0,0.490662,24.12,7.41,94.439916,43.83,0.0657,0.1039,19.07225127184466,2.119516424653277,2.9866442964625186,1062.0
OS,Hammen 102,4.0,Augustus,2019.0,51.64883,3.8421,-9.48,0.29,0.68,27.5,37.0,67.5,0.474732,27.979441,8.49,82.711707,46.27,0.0292,0.0659,20.057118417475724,1.6982540697368422,4.2790139524299065,1026.0
OS,Hammen 102,5.0,September,2019.0,51.64883,3.8421,-9.48,0.29,0.68,37.5,31.0,77.0,0.81932,29.628291,11.989667,59.084697,51.678,0.1129,0.1745,18.42716125728155,1.9681722821213208,4.156344418720368,1606.0
OS,Hammen 102,6.0,Oktober,2019.0,51.64883,3.8421,-9.48,0.29,0.68,37.5,27.0,60.0,0.681007,26.155513,12.444386042857143,63.822505,52.80524794285714,0.0168,0.0417,15.21986455339806,1.9078674432067304,4.218759732142857,2062.0
OS,Hammen 102,0.0,April,2020.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.211516,22.273914,4.579348,151.0,37.118986,0.0,0.0,10.10803868932039,3.2859160307798168,5.366423289334862,310.0
OS,Hammen 102,1.0,Mei,2020.0,51.64883,3.8421,-9.48,0.29,0.68,98.57142857,27.0,75.0,0.326301,27.921006,5.093043,136.100669,39.37,0.019,0.0834,12.363607361650487,3.895943172265176,3.3844626734299523,148.0
OS,Hammen 102,2.0,Juni,2020.0,51.64883,3.8421,-9.48,0.29,0.68,90.0,37.0,68.5,0.436851,30.455267,6.603492,105.664477,43.903492,0.0408,0.1225,15.817298548543684,2.233162130274168,4.968790196257537,2828.0
OS,Hammen 102,3.0,Juli,2020.0,51.64883,3.8421,-9.48,0.29,0.68,87.14285714,27.0,62.0,0.4759943333333333,31.886983,8.122951,86.352184,45.82,0.0563,0.071,18.562155291262133,2.214598339323343,2.834173203772456,1466.0
OS,Hammen 102,4.0,Augustus,2020.0,51.64883,3.8421,-9.48,0.29,0.68,84.28571429,49.0,67.5,0.5682936666666666,33.054094,10.176949,69.31964,48.66,0.0419,0.058,20.099444242718448,1.737849256512772,3.3129036527313485,1240.0
OS,Hammen 102,5.0,September,2020.0,51.64883,3.8421,-9.48,0.29,0.68,87.14,45.0,77.0,0.7307045000000001,33.052998,11.500656,61.531878,51.28,0.0294,0.0582,18.395776533980584,1.7688027702484472,2.51714994603139,2224.0
OS,Hammen 102,6.0,Oktober,2020.0,51.64883,3.8421,-9.48,0.29,0.68,84.28571429,24.0,60.0,0.7324093333333334,27.275746,11.739492,60.311513,52.9,0.01,0.0675,12.843970626213594,1.2386664394444444,7.384641395402299,2282.0
OS,Hammen 102,0.0,April,2021.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.19,24.48941,4.2353,162.899255,36.5047,0.0,0.0,8.029174804854367,2.5127292052469583,2.614171587837209,888.0
OS,Hammen 102,1.0,Mei,2021.0,51.64883,3.8421,-9.48,0.29,0.68,92.85714286,39.0,75.0,0.2661923333333333,32.516644,5.776923,120.373511,41.063538,0.0395,0.1169,10.015156475728157,3.1063112640856034,2.8558051879787234,1450.0
OS,Hammen 102,2.0,Juni,2021.0,51.64883,3.8421,-9.48,0.29,0.68,92.85714286,18.0,68.5,0.406549,33.557728,7.130308,98.048532,43.513077,0.0752,0.1361,15.90042757524272,2.072725723942932,2.3767896733788394,1994.0
OS,Hammen 102,3.0,Juli,2021.0,51.64883,3.8421,-9.48,0.29,0.68,90.0,42.0,62.0,0.4759943333333333,35.875716,9.650159,73.005089,48.135397,0.06,0.1101,18.174252121359224,2.0037899838765822,1.9622660887963344,1092.0
OS,Hammen 102,4.0,Augustus,2021.0,51.64883,3.8421,-9.48,0.29,0.68,84.28571429,43.0,67.5,0.5682936666666666,33.908497,12.091864,58.597958,52.166271,0.0568,0.0937,19.11331048543689,1.681973342988759,3.1824910008130085,1714.0
OS,Hammen 102,5.0,September,2021.0,51.64883,3.8421,-9.48,0.29,0.68,80.0,20.0,77.0,0.7307045000000001,29.360153,12.801607,55.429434,52.514464,0.0355,0.0174,18.74005839805825,1.5617578753238868,2.1665960068070444,342.0
OS,Hammen 102,6.0,Oktober,2021.0,51.64883,3.8421,-9.48,0.29,0.68,84.28571429,25.0,60.0,0.7324093333333334,25.052852,13.789831,51.554465,53.941017,0.0395,0.0571,15.644591898058252,1.088924381928934,4.478878475315985,1706.0
OS,Hammen 102,0.0,April,2022.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.79,20.06,4.19,164.615464,35.02,0.0,0.0,8.554650669902912,0.9927641786472148,2.1845184656387664,752.0
OS,Hammen 102,1.0,Mei,2022.0,51.64883,3.8421,-9.48,0.29,0.68,93.0,36.0,75.0,0.2661923333333333,25.09,5.26,131.801521,38.4,0.0297,0.0939,11.510816135922331,2.295930287802176,2.6875271251498223,780.0
OS,Hammen 102,2.0,Juni,2022.0,51.64883,3.8421,-9.48,0.29,0.68,35.0,28.0,68.5,0.406549,31.226262,7.020952,99.536611,42.72619,0.0629,0.1545,16.023533844660193,2.416535922527016,3.360236369079976,1406.0
OS,Hammen 102,3.0,Juli,2022.0,51.64883,3.8421,-9.48,0.29,0.68,68.33333333,28.0,62.0,0.4759943333333333,32.116768,8.647561,81.242613,45.13439,0.0581,0.086,18.94754772815534,1.6963910646558775,2.165513818360543,558.0
OS,Hammen 102,4.0,Augustus,2022.0,51.64883,3.8421,-9.48,0.29,0.68,50.0,34.0,67.5,0.5682936666666666,40.192489,11.290667,62.646947,49.541,0.0777,0.1296,21.08184525728156,2.169520550502882,2.4367372334194908,470.0
OS,Hammen 102,5.0,September,2022.0,51.64883,3.8421,-9.48,0.29,0.68,50.0,29.0,77.0,0.7307045000000001,33.053642,11.322,62.477971,50.0,0.0011,0.0158,21.26990270873786,2.06905601525641,2.565006737578493,4928.0
OS,Hammen 102,6.0,Oktober,2022.0,51.64883,3.8421,-9.48,0.29,0.68,60.0,28.0,60.0,0.7324093333333334,29.356406,11.895,59.542934,50.938611,0.0205,0.0335,17.199640597087374,1.8927177734559115,4.206588319186975,1122.0
OS,Hammen 174,0.0,April,2017.0,51.63647,3.74632,-1.54,0.19,0.6,100.0,0.0,80.0,0.100018,22.9,2.38,285.836276,30.31,0.0,0.0,10.95327756930693,3.572373109294872,2.6247810287730062,398.0
OS,Hammen 174,1.0,Mei,2017.0,51.63647,3.74632,-1.54,0.19,0.6,80.0,33.0,64.0,0.224688,33.477633,3.248438,210.961126,34.358481,0.0263,0.1227,12.58414,2.40638666034955,2.393142589411765,492.0
OS,Hammen 174,2.0,Juni,2017.0,51.63647,3.74632,-1.54,0.19,0.6,77.5,26.0,62.0,0.380898,32.331809,4.93871,140.244134,39.518056,0.065,0.1984,18.001659628712872,1.7428433428571428,3.3030491060424025,436.0
OS,Hammen 174,3.0,Juli,2017.0,51.63647,3.74632,-1.54,0.19,0.6,76.25,29.0,61.0,0.522993,34.2418,6.442131,108.243096,42.839437,0.0518,0.1145,19.80685184158416,1.521859340619469,3.7036466625,2766.0
OS,Hammen 174,4.0,Augustus,2017.0,51.63647,3.74632,-1.54,0.19,0.6,58.75,33.0,62.0,0.639375,33.295775,7.729839,90.629486,45.106944,0.039,0.0687,19.36448503960396,2.701351790651064,3.9486552961354575,2266.0
OS,Hammen 174,5.0,September,2017.0,51.63647,3.74632,-1.54,0.19,0.6,66.25,31.0,53.0,0.79592,34.351433,10.007547,70.462997,49.17,0.0735,0.1311,17.57705900990099,1.2412505681818184,2.7590714513513515,3044.0
OS,Hammen 174,6.0,Oktober,2017.0,51.63647,3.74632,-1.54,0.19,0.6,71.25,36.0,57.0,0.828789,27.742458,11.921053,59.416108,52.87,0.0532,0.1028,14.853728955445543,2.5783364540411844,5.6882101090625,1278.0
OS,Hammen 174,0.0,April,2018.0,51.63647,3.74632,-1.54,0.19,0.6,100.0,0.0,80.0,0.219611,27.426378,4.11,167.868752,36.640303,0.0,0.0,8.416853202970296,2.985004107037826,3.260259643187251,1454.0
OS,Hammen 174,1.0,Mei,2018.0,51.63647,3.74632,-1.54,0.19,0.6,82.5,29.0,66.0,0.261261,30.123292,4.54697,152.003659,38.891515,0.0151,0.0776,10.859752430693066,2.985004107037826,3.260259643187251,1566.0
OS,Hammen 174,2.0,Juni,2018.0,51.63647,3.74632,-1.54,0.19,0.6,78.75,31.0,63.0,0.468465,31.520155,6.536508,106.719654,43.12,0.0642,0.1364,15.251327698019802,1.8705936450233485,3.79222035452376,106.0
OS,Hammen 174,3.0,Juli,2018.0,51.63647,3.74632,-1.54,0.19,0.6,82.5,33.0,66.0,0.632279,31.41,8.42,83.381066,46.47,0.0571,0.1015,18.894425495049507,2.6150740789723788,3.9756607706679263,288.0
OS,Hammen 174,4.0,Augustus,2018.0,51.63647,3.74632,-1.54,0.19,0.6,75.0,34.0,60.0,0.843658,31.254703,9.9665,70.745811,48.48,0.0455,0.0591,21.59624367326733,2.169082007754448,3.702605386721992,1784.0
OS,Hammen 174,5.0,September,2018.0,51.63647,3.74632,-1.54,0.19,0.6,67.54761904799999,45.0,53.0,0.879616,32.131659,12.316154,57.557693,52.800923,0.0522,0.096,18.52329816831683,2.3291504105639094,1.6542168954861112,1048.0
OS,Hammen 174,6.0,Oktober,2018.0,51.63647,3.74632,-1.54,0.19,0.6,63.75,15.0,51.0,1.063353,30.631082,13.701961,51.876657,54.91,0.0924,0.1406,15.855812341584157,1.509714496875,2.063641275,1546.0
OS,Hammen 174,0.0,April,2019.0,51.63647,3.74632,-1.54,0.19,0.6,100.0,0.0,80.0,0.3022289999999999,12.8,2.74,249.028309,31.791375,0.0,0.0,9.067703405940597,0.4545444789,5.15796339375,366.0
OS,Hammen 174,1.0,Mei,2019.0,51.63647,3.74632,-1.54,0.19,0.6,81.25,40.0,65.0,0.2809649999999999,30.888516,3.670769,187.26998,34.602462,0.0233,0.0703,11.633629235148517,5.692648517256397,4.698789932423914,578.0
OS,Hammen 174,2.0,Juni,2019.0,51.63647,3.74632,-1.54,0.19,0.6,51.0,28.0,62.5,0.387729,14.29,5.84,119.106224,40.89,0.0775,0.2246,15.874653881188117,1.403521308288806,3.458441874594594,1320.0
OS,Hammen 174,3.0,Juli,2019.0,51.63647,3.74632,-1.54,0.19,0.6,70.0,28.0,63.5,0.765068,31.37,8.54,82.239711,46.63,0.0964,0.205,18.775113227722773,2.748864286596872,2.884835792268109,1062.0
OS,Hammen 174,4.0,Augustus,2019.0,51.63647,3.74632,-1.54,0.19,0.6,60.0,37.0,61.0,0.910842,30.885116,11.75,60.258944,50.7,0.0868,0.11,19.967673435643565,1.5187354992633928,3.156993106495328,1026.0
OS,Hammen 174,5.0,September,2019.0,51.63647,3.74632,-1.54,0.19,0.6,51.25,31.0,53.0,0.963312,27.578854,14.297805,49.768539,54.454634,0.0822,0.1211,18.4113025990099,2.137074370067832,4.537949020543982,1606.0
OS,Hammen 174,6.0,Oktober,2019.0,51.63647,3.74632,-1.54,0.19,0.6,57.5,27.0,54.0,0.970804,23.076923,15.00087,47.493846,55.671087,0.026,0.0451,15.173209,1.3922237418242045,5.260168673392856,2062.0
OS,Hammen 174,0.0,April,2020.0,51.63647,3.74632,-1.54,0.19,0.6,100.0,0.0,80.0,0.211516,22.273914,4.579348,151.0,37.118986,0.0,0.0,9.947414277227724,4.373402598245614,5.129111862693266,310.0
OS,Hammen 174,1.0,Mei,2020.0,51.63647,3.74632,-1.54,0.19,0.6,97.14285714,27.0,65.0,0.356946,31.502506,4.870294,142.163835,39.43,0.0108,0.0856,12.218267472772276,3.635993754545455,3.0693533844036702,148.0
OS,Hammen 174,2.0,Juni,2020.0,51.63647,3.74632,-1.54,0.19,0.6,87.14285714,37.0,62.5,0.471982,30.313922,7.02377,99.497689,44.131475,0.0582,0.1271,15.569999767326737,2.436205755894786,6.182048089271337,2828.0
OS,Hammen 174,3.0,Juli,2020.0,51.63647,3.74632,-1.54,0.19,0.6,92.85714286,27.0,63.5,0.6401133333333333,31.943716,8.211077,85.448818,46.09,0.044,0.0725,18.42214784158416,2.6271818209880005,2.796805592136552,1466.0
OS,Hammen 174,4.0,Augustus,2020.0,51.63647,3.74632,-1.54,0.19,0.6,90.0,49.0,61.0,0.7979583333333333,35.536364,10.47619,67.389184,50.27,0.0462,0.0853,20.03715772277228,1.6128255069565218,3.007583786494424,1240.0
OS,Hammen 174,5.0,September,2020.0,51.63647,3.74632,-1.54,0.19,0.6,80.0,45.0,53.0,0.879616,37.205393,10.728571,65.843709,51.07,0.0056,0.0178,18.428821772277228,1.8437987011081969,3.2302048556904364,2224.0
OS,Hammen 174,6.0,Oktober,2020.0,51.63647,3.74632,-1.54,0.19,0.6,90.0,24.0,54.0,0.9543153333333332,28.886456,11.891111,59.561912,52.26,0.0484,0.0496,12.86634691089109,2.279559900934426,8.379881597969543,2282.0
OS,Hammen 174,0.0,April,2021.0,51.63647,3.74632,-1.54,0.19,0.6,100.0,0.0,80.0,0.19,24.48941,4.2353,162.899255,36.5047,0.0,0.0,7.984089408910892,3.937282195341667,2.920140739390935,888.0
OS,Hammen 174,1.0,Mei,2021.0,51.63647,3.74632,-1.54,0.19,0.6,97.14285714,39.0,65.0,0.2809649999999999,33.195139,5.143382,134.802308,39.703088,0.0233,0.082,10.115138945544556,3.1063112640856034,3.622108455076922,1450.0
OS,Hammen 174,2.0,Juni,2021.0,51.63647,3.74632,-1.54,0.19,0.6,94.28571429,18.0,62.5,0.4272685,29.920877,6.855455,101.877782,42.391212,0.0951,0.1493,15.578010215346536,2.271772208976982,2.4566216812203394,1994.0
OS,Hammen 174,3.0,Juli,2021.0,51.63647,3.74632,-1.54,0.19,0.6,90.0,42.0,63.5,0.6401133333333333,37.498494,10.542222,66.977777,48.870317,0.0878,0.1543,17.987366168316832,2.2805737960118373,2.651975726611527,1092.0
OS,Hammen 174,4.0,Augustus,2021.0,51.63647,3.74632,-1.54,0.19,0.6,81.42857143,43.0,61.0,0.7979583333333333,39.287631,11.44193,61.83965,50.405614,0.0209,0.0357,19.057218930693068,1.7369188160379267,3.144023990381557,1714.0
OS,Hammen 174,5.0,September,2021.0,51.63647,3.74632,-1.54,0.19,0.6,78.57142857,20.0,53.0,0.879616,36.617514,13.711273,51.842319,52.962364,0.1135,0.1278,18.614554579207923,1.7045205793189369,2.8441602869509275,342.0
OS,Hammen 174,6.0,Oktober,2021.0,51.63647,3.74632,-1.54,0.19,0.6,67.14285714,25.0,54.0,0.9543153333333332,27.493848,14.179574,50.17293,54.157872,0.0187,0.0478,15.601774054455444,1.1394220695454544,4.788603089347826,1706.0
OS,Hammen 174,0.0,April,2022.0,51.63647,3.74632,-1.54,0.19,0.6,100.0,0.0,80.0,0.79,20.06,4.19,164.615464,35.02,0.0,0.0,8.483437450495051,1.475227409190608,3.9134987098933336,752.0
OS,Hammen 174,1.0,Mei,2022.0,51.63647,3.74632,-1.54,0.19,0.6,92.0,36.0,65.0,0.2809649999999999,25.78,5.39,128.846891,38.1,0.0333,0.0856,11.34638224009901,2.503336006965202,3.631732905007093,780.0
OS,Hammen 174,2.0,Juni,2022.0,51.63647,3.74632,-1.54,0.19,0.6,73.33333333,28.0,62.5,0.4272685,27.234977,7.552955,92.697435,43.270455,0.0772,0.1847,15.839579658415843,2.5292255621153847,3.71646132206654,1406.0
OS,Hammen 174,3.0,Juli,2022.0,51.63647,3.74632,-1.54,0.19,0.6,70.0,28.0,63.5,0.6401133333333333,37.410107,9.700714,72.63426,47.543571,0.0767,0.1526,18.707148173267328,2.0349345316704524,2.553141980609497,558.0
OS,Hammen 174,4.0,Augustus,2022.0,51.63647,3.74632,-1.54,0.19,0.6,66.66666667,34.0,61.0,0.7979583333333333,35.48543,10.8615,65.058225,49.76175,0.0341,0.0652,20.943954816831685,2.307762198043478,2.30933354978624,470.0
OS,Hammen 174,5.0,September,2022.0,51.63647,3.74632,-1.54,0.19,0.6,61.66666667,29.0,53.0,0.879616,37.495997,11.814595,59.937832,50.14,0.0329,0.013,21.2297234059406,2.2293319747058824,2.562022269198674,4928.0
OS,Hammen 174,6.0,Oktober,2022.0,51.63647,3.74632,-1.54,0.19,0.6,65.0,28.0,54.0,0.9543153333333332,31.660959,12.802308,55.426478,51.279487,0.0353,0.0407,17.17623311881188,2.527150773716931,5.1743824540322585,1122.0
OS,Hammen 184,0.0,April,2017.0,51.62803,3.77248,-4.76,0.23,0.66,100.0,0.0,80.0,0.100018,22.9,2.38,285.836276,30.31,0.0,0.0,10.976730264044942,3.491749610842697,2.7702110708743173,398.0
OS,Hammen 184,1.0,Mei,2017.0,51.62803,3.77248,-4.76,0.23,0.66,86.25,33.0,69.0,0.19522,27.859705,3.636232,189.003304,34.554203,0.0381,0.1286,12.611416691011236,2.2641157232282354,2.786990405882353,492.0
OS,Hammen 184,2.0,Juni,2017.0,51.62803,3.77248,-4.76,0.23,0.66,98.75,26.0,79.0,0.341697,29.731781,5.002532,138.500071,39.573797,0.0526,0.1931,18.061433011235955,1.7561763200000002,3.3296085488319087,436.0
OS,Hammen 184,3.0,Juli,2017.0,51.62803,3.77248,-4.76,0.23,0.66,87.5,29.0,70.0,0.468995,31.638051,6.589714,105.879783,42.401143,0.0547,0.0975,19.85595679775281,1.8962188770385304,3.9220897971985815,2766.0
OS,Hammen 184,4.0,Augustus,2017.0,51.62803,3.77248,-4.76,0.23,0.66,77.5,33.0,69.0,0.708389,34.799741,8.275507,84.800376,46.166957,0.0511,0.1141,19.36554075280899,1.818082362333333,3.8091444224333335,2266.0
OS,Hammen 184,5.0,September,2017.0,51.62803,3.77248,-4.76,0.23,0.66,95.0,31.0,76.0,0.669476,30.744517,9.419737,74.745007,48.43,0.0369,0.073,17.6188873258427,1.220960828837209,2.626116735714285,3044.0
OS,Hammen 184,6.0,Oktober,2017.0,51.62803,3.77248,-4.76,0.23,0.66,88.75,36.0,71.0,0.788388,28.672018,11.58169,61.112251,52.81,0.0601,0.1217,14.79133809550562,2.4088697042558773,5.490346791272728,1278.0
OS,Hammen 184,0.0,April,2018.0,51.62803,3.77248,-4.76,0.23,0.66,100.0,0.0,80.0,0.219611,27.426378,4.11,167.868752,36.640303,0.0,0.0,8.371125730337077,3.229621892297938,3.184464733962264,1454.0
OS,Hammen 184,1.0,Mei,2018.0,51.62803,3.77248,-4.76,0.23,0.66,96.25,29.0,77.0,0.214522,24.171429,4.545455,152.02835,39.037273,0.015,0.0827,10.969191398876404,3.229621892297938,3.184464733962264,1566.0
OS,Hammen 184,2.0,Juni,2018.0,51.62803,3.77248,-4.76,0.23,0.66,92.5,31.0,74.0,0.375627,28.948566,5.937838,117.193155,41.72,0.0449,0.0865,15.276124556179774,1.6856091078254585,3.275971929638009,106.0
OS,Hammen 184,3.0,Juli,2018.0,51.62803,3.77248,-4.76,0.23,0.66,92.5,33.0,74.0,0.475172,26.45,7.8,89.828061,44.84,0.0564,0.0945,18.920617404494383,2.656491590575313,4.911608514782695,288.0
OS,Hammen 184,4.0,Augustus,2018.0,51.62803,3.77248,-4.76,0.23,0.66,83.75,34.0,67.0,0.569904,26.59628,8.595075,81.726087,46.34,0.0234,0.0441,21.661012887640453,2.160085722884498,4.006798387152778,1784.0
OS,Hammen 184,5.0,September,2018.0,51.62803,3.77248,-4.76,0.23,0.66,65.845809524,45.0,76.0,0.786186,29.206292,10.132727,69.614469,49.994394,0.0342,0.0812,18.49419279775281,2.349842927875,1.7981848974470982,1048.0
OS,Hammen 184,6.0,Oktober,2018.0,51.62803,3.77248,-4.76,0.23,0.66,67.5,15.0,54.0,0.717924,29.931296,10.242593,68.886629,50.64,0.0073,0.043,15.773618662921349,1.509714496875,2.1421120297297302,1546.0
OS,Hammen 184,0.0,April,2019.0,51.62803,3.77248,-4.76,0.23,0.66,100.0,0.0,80.0,0.3022289999999999,12.8,2.74,249.028309,31.791375,0.0,0.0,9.097011016853934,0.4545444789,5.15796339375,366.0
OS,Hammen 184,1.0,Mei,2019.0,51.62803,3.77248,-4.76,0.23,0.66,71.25,40.0,73.0,0.2401863333333333,31.559917,3.396491,201.993826,34.520175,0.0164,0.0682,11.676809488764048,6.288296927265917,4.908816485714286,578.0
OS,Hammen 184,2.0,Juni,2019.0,51.62803,3.77248,-4.76,0.23,0.66,63.75,28.0,76.5,0.385871,13.93,5.66,122.796369,40.61,0.0808,0.2175,15.906156471910112,1.4980509514901963,3.264514378827361,1320.0
OS,Hammen 184,3.0,Juli,2019.0,51.62803,3.77248,-4.76,0.23,0.66,10.0,28.0,72.0,0.5982,23.25,7.77,90.172912,43.99,0.0754,0.1207,18.89196651685393,2.314561278668851,3.058605287891419,1062.0
OS,Hammen 184,4.0,Augustus,2019.0,51.62803,3.77248,-4.76,0.23,0.66,6.25,37.0,68.0,0.72462,33.752311,10.82,65.301406,48.44,0.0824,0.1203,19.998303449438204,1.5626506549389672,3.214873666941748,1026.0
OS,Hammen 184,5.0,September,2019.0,51.62803,3.77248,-4.76,0.23,0.66,33.75,31.0,76.0,0.902896,29.885327,12.628519,56.169734,51.706667,0.0583,0.1054,18.4268382752809,2.1495044432746324,4.589287351428862,1606.0
OS,Hammen 184,6.0,Oktober,2019.0,51.62803,3.77248,-4.76,0.23,0.66,3.75,27.0,62.5,0.4619,25.638978,13.088257242857145,84.095698,52.73221831428572,0.017,0.038,15.1844044494382,1.5888268484083334,5.672214379101191,2062.0
OS,Hammen 184,0.0,April,2020.0,51.62803,3.77248,-4.76,0.23,0.66,100.0,0.0,80.0,0.211516,22.273914,4.579348,151.0,37.118986,0.0,0.0,9.999493297752808,4.043272149419643,5.469338778177777,310.0
OS,Hammen 184,1.0,Mei,2020.0,51.62803,3.77248,-4.76,0.23,0.66,85.71428571,27.0,73.0,0.310817,28.417315,4.882,141.831608,39.02,0.0112,0.0704,12.254202432584268,3.635993754545455,3.2168524956410263,148.0
OS,Hammen 184,2.0,Juni,2020.0,51.62803,3.77248,-4.76,0.23,0.66,92.85714286,37.0,76.5,0.480012,29.405622,7.218923,96.875332,44.145692,0.0632,0.1385,15.642190398876403,2.4674876479084427,6.630347775502977,2828.0
OS,Hammen 184,3.0,Juli,2020.0,51.62803,3.77248,-4.76,0.23,0.66,90.0,27.0,72.0,0.5141223333333333,33.188241,7.548571,92.749892,44.94814594285714,0.0122,0.0297,18.46578538202247,2.60532712791235,3.0596065792068403,1466.0
OS,Hammen 184,4.0,Augustus,2020.0,51.62803,3.77248,-4.76,0.23,0.66,87.14285714,49.0,68.0,0.6676376666666668,33.773494,9.236557,76.189346,46.53,0.0344,0.0323,20.047774168539327,1.688246288828552,3.2602865669594405,1240.0
OS,Hammen 184,5.0,September,2020.0,51.62803,3.77248,-4.76,0.23,0.66,72.86,45.0,76.0,0.786186,35.305678,12.072157,58.691186,53.21,0.063,0.1484,18.40942657303371,1.86429465980678,3.6211533500299566,2224.0
