Plot Location,Monitoring Period,Year,Depth (m),Average Flow Speed (mps),Maximum Flow Speed (mps),Number of Days,Living Mussel Count,Growth (g per day),Water Temperature (C),Chlorophyll,Turbidity (FTU),Precipitation,Living Mussel Count_lag,Ash Free Dry Weight (g)_lag,Individual Weight (g)_lag,Water Temperature (C)_lag,Chlorophyll_lag,Turbidity (FTU)_lag,Precipitation_lag
Hammen 102,2,5,-9.48,0.29,0.68,28.0,62.0,0.0581,18.94754772815534,1.6963910646558775,2.165513818360543,558.0,68.5,0.406549,7.020952,16.023533844660193,2.416535922527016,3.360236369079976,1406.0
Hammen 102,3,5,-9.48,0.29,0.68,34.0,67.5,0.0777,21.08184525728156,2.169520550502882,2.4367372334194908,470.0,62.0,0.4759943333333333,8.647561,18.94754772815534,1.6963910646558775,2.165513818360543,558.0
Hammen 102,4,5,-9.48,0.29,0.68,29.0,77.0,0.0011,21.26990270873786,2.06905601525641,2.565006737578493,4928.0,67.5,0.5682936666666666,11.290667,21.08184525728156,2.169520550502882,2.4367372334194908,470.0
Hammen 102,5,5,-9.48,0.29,0.68,28.0,60.0,0.0205,17.199640597087374,1.8927177734559115,4.206588319186975,1122.0,77.0,0.7307045000000001,11.322,21.26990270873786,2.06905601525641,2.565006737578493,4928.0
Hammen 174,0,0,-1.54,0.19,0.6,33.0,64.0,0.0263,12.58414,2.40638666034955,2.393142589411765,492.0,80.0,0.100018,2.38,10.95327756930693,3.572373109294872,2.6247810287730062,398.0
Hammen 174,1,0,-1.54,0.19,0.6,26.0,62.0,0.065,18.001659628712872,1.7428433428571428,3.3030491060424025,436.0,64.0,0.224688,3.248438,12.58414,2.40638666034955,2.393142589411765,492.0
Hammen 174,2,0,-1.54,0.19,0.6,29.0,61.0,0.0518,19.80685184158416,1.521859340619469,3.7036466625,2766.0,62.0,0.380898,4.93871,18.001659628712872,1.7428433428571428,3.3030491060424025,436.0
Hammen 174,3,0,-1.54,0.19,0.6,33.0,62.0,0.039,19.36448503960396,2.701351790651064,3.9486552961354575,2266.0,61.0,0.522993,6.442131,19.80685184158416,1.521859340619469,3.7036466625,2766.0
Hammen 174,4,0,-1.54,0.19,0.6,31.0,53.0,0.0735,17.57705900990099,1.2412505681818184,2.7590714513513515,3044.0,62.0,0.639375,7.729839,19.36448503960396,2.701351790651064,3.9486552961354575,2266.0
Hammen 174,5,0,-1.54,0.19,0.6,36.0,57.0,0.0532,14.853728955445543,2.5783364540411844,5.6882101090625,1278.0,53.0,0.79592,10.007547,17.57705900990099,1.2412505681818184,2.7590714513513515,3044.0
Hammen 174,0,1,-1.54,0.19,0.6,29.0,66.0,0.0151,10.859752430693066,2.985004107037826,3.260259643187251,1566.0,80.0,0.219611,4.11,8.416853202970296,2.985004107037826,3.260259643187251,1454.0
Hammen 174,1,1,-1.54,0.19,0.6,31.0,63.0,0.0642,15.251327698019802,1.8705936450233485,3.79222035452376,106.0,66.0,0.261261,4.54697,10.859752430693066,2.985004107037826,3.260259643187251,1566.0
Hammen 174,2,1,-1.54,0.19,0.6,33.0,66.0,0.0571,18.894425495049507,2.6150740789723788,3.9756607706679263,288.0,63.0,0.468465,6.536508,15.251327698019802,1.8705936450233485,3.79222035452376,106.0
Hammen 174,3,1,-1.54,0.19,0.6,34.0,60.0,0.0455,21.59624367326733,2.169082007754448,3.702605386721992,1784.0,66.0,0.632279,8.42,18.894425495049507,2.6150740789723788,3.9756607706679263,288.0
Hammen 174,4,1,-1.54,0.19,0.6,45.0,53.0,0.0522,18.52329816831683,2.3291504105639094,1.6542168954861112,1048.0,60.0,0.843658,9.9665,21.59624367326733,2.169082007754448,3.702605386721992,1784.0
Hammen 174,5,1,-1.54,0.19,0.6,15.0,51.0,0.0924,15.855812341584157,1.509714496875,2.063641275,1546.0,53.0,0.879616,12.316154,18.52329816831683,2.3291504105639094,1.6542168954861112,1048.0
Hammen 174,0,2,-1.54,0.19,0.6,40.0,65.0,0.0233,11.633629235148517,5.692648517256397,4.698789932423914,578.0,80.0,0.3022289999999999,2.74,9.067703405940597,0.4545444789,5.15796339375,366.0
Hammen 174,1,2,-1.54,0.19,0.6,28.0,62.5,0.0775,15.874653881188117,1.403521308288806,3.458441874594594,1320.0,65.0,0.2809649999999999,3.670769,11.633629235148517,5.692648517256397,4.698789932423914,578.0
Hammen 174,2,2,-1.54,0.19,0.6,28.0,63.5,0.0964,18.775113227722773,2.748864286596872,2.884835792268109,1062.0,62.5,0.387729,5.84,15.874653881188117,1.403521308288806,3.458441874594594,1320.0
Hammen 174,3,2,-1.54,0.19,0.6,37.0,61.0,0.0868,19.967673435643565,1.5187354992633928,3.156993106495328,1026.0,63.5,0.765068,8.54,18.775113227722773,2.748864286596872,2.884835792268109,1062.0
Hammen 174,4,2,-1.54,0.19,0.6,31.0,53.0,0.0822,18.4113025990099,2.137074370067832,4.537949020543982,1606.0,61.0,0.910842,11.75,19.967673435643565,1.5187354992633928,3.156993106495328,1026.0
Hammen 174,5,2,-1.54,0.19,0.6,27.0,54.0,0.026,15.173209,1.3922237418242045,5.260168673392856,2062.0,53.0,0.963312,14.297805,18.4113025990099,2.137074370067832,4.537949020543982,1606.0
Hammen 174,0,3,-1.54,0.19,0.6,27.0,65.0,0.0108,12.218267472772276,3.635993754545455,3.0693533844036702,148.0,80.0,0.211516,4.579348,9.947414277227724,4.373402598245614,5.129111862693266,310.0
Hammen 174,1,3,-1.54,0.19,0.6,37.0,62.5,0.0582,15.569999767326737,2.436205755894786,6.182048089271337,2828.0,65.0,0.356946,4.870294,12.218267472772276,3.635993754545455,3.0693533844036702,148.0
Hammen 174,2,3,-1.54,0.19,0.6,27.0,63.5,0.044,18.42214784158416,2.6271818209880005,2.796805592136552,1466.0,62.5,0.471982,7.02377,15.569999767326737,2.436205755894786,6.182048089271337,2828.0
Hammen 174,3,3,-1.54,0.19,0.6,49.0,61.0,0.0462,20.03715772277228,1.6128255069565218,3.007583786494424,1240.0,63.5,0.6401133333333333,8.211077,18.42214784158416,2.6271818209880005,2.796805592136552,1466.0
Hammen 174,4,3,-1.54,0.19,0.6,45.0,53.0,0.0056,18.428821772277228,1.8437987011081969,3.2302048556904364,2224.0,61.0,0.7979583333333333,10.47619,20.03715772277228,1.6128255069565218,3.007583786494424,1240.0
Hammen 174,5,3,-1.54,0.19,0.6,24.0,54.0,0.0484,12.86634691089109,2.279559900934426,8.379881597969543,2282.0,53.0,0.879616,10.728571,18.428821772277228,1.8437987011081969,3.2302048556904364,2224.0
Hammen 174,0,4,-1.54,0.19,0.6,39.0,65.0,0.0233,10.115138945544556,3.1063112640856034,3.622108455076922,1450.0,80.0,0.19,4.2353,7.984089408910892,3.937282195341667,2.920140739390935,888.0
Hammen 174,1,4,-1.54,0.19,0.6,18.0,62.5,0.0951,15.578010215346536,2.271772208976982,2.4566216812203394,1994.0,65.0,0.2809649999999999,5.143382,10.115138945544556,3.1063112640856034,3.622108455076922,1450.0
Hammen 174,2,4,-1.54,0.19,0.6,42.0,63.5,0.0878,17.987366168316832,2.2805737960118373,2.651975726611527,1092.0,62.5,0.4272685,6.855455,15.578010215346536,2.271772208976982,2.4566216812203394,1994.0
Hammen 174,3,4,-1.54,0.19,0.6,43.0,61.0,0.0209,19.057218930693068,1.7369188160379267,3.144023990381557,1714.0,63.5,0.6401133333333333,10.542222,17.987366168316832,2.2805737960118373,2.651975726611527,1092.0
Hammen 174,4,4,-1.54,0.19,0.6,20.0,53.0,0.1135,18.614554579207923,1.7045205793189369,2.8441602869509275,342.0,61.0,0.7979583333333333,11.44193,19.057218930693068,1.7369188160379267,3.144023990381557,1714.0
Hammen 174,5,4,-1.54,0.19,0.6,25.0,54.0,0.0187,15.601774054455444,1.1394220695454544,4.788603089347826,1706.0,53.0,0.879616,13.711273,18.614554579207923,1.7045205793189369,2.8441602869509275,342.0
Hammen 174,0,5,-1.54,0.19,0.6,36.0,65.0,0.0333,11.34638224009901,2.503336006965202,3.631732905007093,780.0,80.0,0.79,4.19,8.483437450495051,1.475227409190608,3.9134987098933336,752.0
Hammen 174,1,5,-1.54,0.19,0.6,28.0,62.5,0.0772,15.839579658415843,2.5292255621153847,3.71646132206654,1406.0,65.0,0.2809649999999999,5.39,11.34638224009901,2.503336006965202,3.631732905007093,780.0
Hammen 174,2,5,-1.54,0.19,0.6,28.0,63.5,0.0767,18.707148173267328,2.0349345316704524,2.553141980609497,558.0,62.5,0.4272685,7.552955,15.839579658415843,2.5292255621153847,3.71646132206654,1406.0
Hammen 174,3,5,-1.54,0.19,0.6,34.0,61.0,0.0341,20.943954816831685,2.307762198043478,2.30933354978624,470.0,63.5,0.6401133333333333,9.700714,18.707148173267328,2.0349345316704524,2.553141980609497,558.0
Hammen 174,4,5,-1.54,0.19,0.6,29.0,53.0,0.0329,21.2297234059406,2.2293319747058824,2.562022269198674,4928.0,61.0,0.7979583333333333,10.8615,20.943954816831685,2.307762198043478,2.30933354978624,470.0
Hammen 174,5,5,-1.54,0.19,0.6,28.0,54.0,0.0353,17.17623311881188,2.527150773716931,5.1743824540322585,1122.0,53.0,0.879616,11.814595,21.2297234059406,2.2293319747058824,2.562022269198674,4928.0
Hammen 184,0,0,-4.76,0.23,0.66,33.0,69.0,0.0381,12.611416691011236,2.2641157232282354,2.786990405882353,492.0,80.0,0.100018,2.38,10.976730264044942,3.491749610842697,2.7702110708743173,398.0
Hammen 184,1,0,-4.76,0.23,0.66,26.0,79.0,0.0526,18.061433011235955,1.7561763200000002,3.3296085488319087,436.0,69.0,0.19522,3.636232,12.611416691011236,2.2641157232282354,2.786990405882353,492.0
Hammen 184,2,0,-4.76,0.23,0.66,29.0,70.0,0.0547,19.85595679775281,1.8962188770385304,3.9220897971985815,2766.0,79.0,0.341697,5.002532,18.061433011235955,1.7561763200000002,3.3296085488319087,436.0
Hammen 184,3,0,-4.76,0.23,0.66,33.0,69.0,0.0511,19.36554075280899,1.818082362333333,3.8091444224333335,2266.0,70.0,0.468995,6.589714,19.85595679775281,1.8962188770385304,3.9220897971985815,2766.0
Hammen 184,4,0,-4.76,0.23,0.66,31.0,76.0,0.0369,17.6188873258427,1.220960828837209,2.626116735714285,3044.0,69.0,0.708389,8.275507,19.36554075280899,1.818082362333333,3.8091444224333335,2266.0
Hammen 184,5,0,-4.76,0.23,0.66,36.0,71.0,0.0601,14.79133809550562,2.4088697042558773,5.490346791272728,1278.0,76.0,0.669476,9.419737,17.6188873258427,1.220960828837209,2.626116735714285,3044.0
Hammen 184,0,1,-4.76,0.23,0.66,29.0,77.0,0.015,10.969191398876404,3.229621892297938,3.184464733962264,1566.0,80.0,0.219611,4.11,8.371125730337077,3.229621892297938,3.184464733962264,1454.0
Hammen 184,1,1,-4.76,0.23,0.66,31.0,74.0,0.0449,15.276124556179774,1.6856091078254585,3.275971929638009,106.0,77.0,0.214522,4.545455,10.969191398876404,3.229621892297938,3.184464733962264,1566.0
Hammen 184,2,1,-4.76,0.23,0.66,33.0,74.0,0.0564,18.920617404494383,2.656491590575313,4.911608514782695,288.0,74.0,0.375627,5.937838,15.276124556179774,1.6856091078254585,3.275971929638009,106.0
Hammen 184,3,1,-4.76,0.23,0.66,34.0,67.0,0.0234,21.661012887640453,2.160085722884498,4.006798387152778,1784.0,74.0,0.475172,7.8,18.920617404494383,2.656491590575313,4.911608514782695,288.0
Hammen 184,4,1,-4.76,0.23,0.66,45.0,76.0,0.0342,18.49419279775281,2.349842927875,1.7981848974470982,1048.0,67.0,0.569904,8.595075,21.661012887640453,2.160085722884498,4.006798387152778,1784.0
Hammen 184,5,1,-4.76,0.23,0.66,15.0,54.0,0.0073,15.773618662921349,1.509714496875,2.1421120297297302,1546.0,76.0,0.786186,10.132727,18.49419279775281,2.349842927875,1.7981848974470982,1048.0
Hammen 184,0,2,-4.76,0.23,0.66,40.0,73.0,0.0164,11.676809488764048,6.288296927265917,4.908816485714286,578.0,80.0,0.3022289999999999,2.74,9.097011016853934,0.4545444789,5.15796339375,366.0
Hammen 184,1,2,-4.76,0.23,0.66,28.0,76.5,0.0808,15.906156471910112,1.4980509514901963,3.264514378827361,1320.0,73.0,0.2401863333333333,3.396491,11.676809488764048,6.288296927265917,4.908816485714286,578.0
Hammen 184,2,2,-4.76,0.23,0.66,28.0,72.0,0.0754,18.89196651685393,2.314561278668851,3.058605287891419,1062.0,76.5,0.385871,5.66,15.906156471910112,1.4980509514901963,3.264514378827361,1320.0
Hammen 184,3,2,-4.76,0.23,0.66,37.0,68.0,0.0824,19.998303449438204,1.5626506549389672,3.214873666941748,1026.0,72.0,0.5982,7.77,18.89196651685393,2.314561278668851,3.058605287891419,1062.0
Hammen 184,4,2,-4.76,0.23,0.66,31.0,76.0,0.0583,18.4268382752809,2.1495044432746324,4.589287351428862,1606.0,68.0,0.72462,10.82,19.998303449438204,1.5626506549389672,3.214873666941748,1026.0
Hammen 184,5,2,-4.76,0.23,0.66,27.0,62.5,0.017,15.1844044494382,1.5888268484083334,5.672214379101191,2062.0,76.0,0.902896,12.628519,18.4268382752809,2.1495044432746324,4.589287351428862,1606.0
Hammen 184,0,3,-4.76,0.23,0.66,27.0,73.0,0.0112,12.254202432584268,3.635993754545455,3.2168524956410263,148.0,80.0,0.211516,4.579348,9.999493297752808,4.043272149419643,5.469338778177777,310.0
Hammen 184,1,3,-4.76,0.23,0.66,37.0,76.5,0.0632,15.642190398876403,2.4674876479084427,6.630347775502977,2828.0,73.0,0.310817,4.882,12.254202432584268,3.635993754545455,3.2168524956410263,148.0
Hammen 184,2,3,-4.76,0.23,0.66,27.0,72.0,0.0122,18.46578538202247,2.60532712791235,3.0596065792068403,1466.0,76.5,0.480012,7.218923,15.642190398876403,2.4674876479084427,6.630347775502977,2828.0
Hammen 184,3,3,-4.76,0.23,0.66,49.0,68.0,0.0344,20.047774168539327,1.688246288828552,3.2602865669594405,1240.0,72.0,0.5141223333333333,7.548571,18.46578538202247,2.60532712791235,3.0596065792068403,1466.0
Hammen 184,4,3,-4.76,0.23,0.66,45.0,76.0,0.063,18.40942657303371,1.86429465980678,3.6211533500299566,2224.0,68.0,0.6676376666666668,9.236557,20.047774168539327,1.688246288828552,3.2602865669594405,1240.0
Hammen 184,5,3,-4.76,0.23,0.66,24.0,62.5,0.0152,12.85644950561798,1.91575199648954,8.280273934753362,2282.0,76.0,0.786186,12.072157,18.40942657303371,1.86429465980678,3.6211533500299566,2224.0
Hammen 184,0,4,-4.76,0.23,0.66,39.0,73.0,0.0327,10.079191196629214,2.440942629240854,3.33372245,1450.0,80.0,0.19,4.2353,7.980135148314606,3.8152216170444935,2.969995496584565,888.0
Hammen 184,1,4,-4.76,0.23,0.66,18.0,76.5,0.101,15.68813001966292,2.150647078586724,2.604143601802656,1994.0,73.0,0.2401863333333333,5.510149,10.079191196629214,2.440942629240854,3.33372245,1450.0
Hammen 184,2,4,-4.76,0.23,0.66,42.0,72.0,0.0381,18.047246966292136,2.2949366597865675,2.656406523596238,1092.0,76.5,0.3958017499999999,7.328154,15.68813001966292,2.150647078586724,2.604143601802656,1994.0
Hammen 184,3,4,-4.76,0.23,0.66,43.0,68.0,0.0743,19.069012,1.838545929743524,3.1292639844262293,1714.0,72.0,0.5141223333333333,8.929242,18.047246966292136,2.2949366597865675,2.656406523596238,1092.0
Hammen 184,4,4,-4.76,0.23,0.66,20.0,76.0,0.0689,18.65257891011236,1.6611908162488858,2.757198173828275,342.0,68.0,0.6676376666666668,12.125,19.069012,1.838545929743524,3.1292639844262293,1714.0
Hammen 184,5,4,-4.76,0.23,0.66,25.0,62.5,0.0176,15.60603534831461,1.3489139909573644,4.748545844927008,1706.0,76.0,0.786186,13.503269,18.65257891011236,1.6611908162488858,2.757198173828275,342.0
Hammen 184,0,5,-4.76,0.23,0.66,36.0,73.0,0.0419,11.404871168539326,2.4476554126190475,3.345778576076389,780.0,80.0,0.79,4.19,8.51135026966292,1.2999599139176758,3.388670442152778,752.0
Hammen 184,1,5,-4.76,0.23,0.66,28.0,76.5,0.049,15.917702578651683,2.110495572148362,3.702315504240095,1406.0,73.0,0.2401863333333333,5.7,11.404871168539326,2.4476554126190475,3.345778576076389,780.0
Hammen 184,2,5,-4.76,0.23,0.66,28.0,72.0,0.0781,18.794077915730337,1.9077556203705104,2.355614895344405,558.0,76.5,0.3958017499999999,7.070952,15.917702578651683,2.110495572148362,3.702315504240095,1406.0
Hammen 184,3,5,-4.76,0.23,0.66,34.0,68.0,0.0456,21.005084213483144,2.2574615935812385,2.4015896247720567,470.0,72.0,0.5141223333333333,9.256739,18.794077915730337,1.9077556203705104,2.355614895344405,558.0
Hammen 184,4,5,-4.76,0.23,0.66,29.0,76.0,0.0724,21.26170895505618,2.171857368684211,2.5977385373001844,4928.0,68.0,0.6676376666666668,10.805625,21.005084213483144,2.2574615935812385,2.4015896247720567,470.0
Hammen 184,5,5,-4.76,0.23,0.66,28.0,62.5,0.0297,17.17164021910112,2.395597979696153,5.305946177169773,1122.0,76.0,0.786186,12.905312,21.26170895505618,2.171857368684211,2.5977385373001844,4928.0
Hammen 68C,0,0,-2.51,0.28,0.73,33.0,57.0,0.0407,12.491640261627907,2.45326995,3.137229656473989,492.0,80.0,0.100018,2.38,10.931815191860467,4.076710758271605,2.9776942,398.0
Hammen 68C,1,0,-2.51,0.28,0.73,26.0,67.0,0.0329,18.13360041860465,1.61563586,2.825384774125,436.0,57.0,0.215983,3.724561,12.491640261627907,2.45326995,3.137229656473989,492.0
Hammen 68C,2,0,-2.51,0.28,0.73,29.0,97.0,0.0658,19.89695343023256,2.372830799616279,3.9405872443023258,2766.0,67.0,0.34238,4.580597,18.13360041860465,1.61563586,2.825384774125,436.0
Hammen 68C,3,0,-2.51,0.28,0.73,33.0,75.0,0.0562,19.37261675581395,1.66836157175,4.011515360784314,2266.0,97.0,0.558107,6.488041,19.89695343023256,2.372830799616279,3.9405872443023258,2766.0
Hammen 68C,4,0,-2.51,0.28,0.73,31.0,80.0,0.0752,17.614010046511627,1.216769348,3.1645282100000003,3044.0,75.0,0.775619,8.3416,19.37261675581395,1.66836157175,4.011515360784314,2266.0
Hammen 68C,5,0,-2.51,0.28,0.73,36.0,70.0,0.0104,14.765127087209306,2.915230777693888,5.21369313,1278.0,80.0,0.908081,10.67375,17.614010046511627,1.216769348,3.1645282100000003,3044.0
Hammen 68C,0,1,-2.51,0.28,0.73,29.0,72.0,0.0211,10.93953473255814,4.163602781676647,4.322364344023669,1566.0,80.0,0.219611,4.11,8.413814389534883,4.163602781676647,4.322364344023669,1454.0
Hammen 68C,1,1,-2.51,0.28,0.73,31.0,70.0,0.0462,15.239499767441856,3.220925970138536,4.877271988285714,106.0,72.0,0.234926,4.722222,10.93953473255814,4.163602781676647,4.322364344023669,1566.0
Hammen 68C,2,1,-2.51,0.28,0.73,33.0,63.0,0.0781,18.869092627906973,3.2484488698742986,4.303383180030662,288.0,70.0,0.466144,6.154286,15.239499767441856,3.220925970138536,4.877271988285714,106.0
Hammen 68C,3,1,-2.51,0.28,0.73,34.0,65.0,0.0464,21.553901250000003,2.479494369705036,3.4217856394573647,1784.0,63.0,0.711905,8.73,18.869092627906973,3.2484488698742986,4.303383180030662,288.0
Hammen 68C,4,1,-2.51,0.28,0.73,45.0,80.0,0.0739,18.44685184883721,2.6763772235882355,2.244203410420348,1048.0,65.0,0.904185,10.306154,21.553901250000003,2.479494369705036,3.4217856394573647,1784.0
Hammen 68C,5,1,-2.51,0.28,0.73,15.0,66.0,0.0061,15.804790029069762,2.088029974556213,2.0840597,1546.0,80.0,1.022456,13.63,18.44685184883721,2.6763772235882355,2.244203410420348,1048.0
Hammen 68C,0,2,-2.51,0.28,0.73,40.0,64.5,0.0215,11.617680328488373,6.644939255670103,4.852554813833334,578.0,80.0,0.3022289999999999,2.74,9.039162156976744,0.4545444789,5.15796339375,366.0
Hammen 68C,1,2,-2.51,0.28,0.73,28.0,68.5,0.0861,15.83437110465116,1.9579365737931027,3.4267938127450983,1320.0,64.5,0.2741536666666667,3.598592,11.617680328488373,6.644939255670103,4.852554813833334,578.0
Hammen 68C,2,2,-2.51,0.28,0.73,28.0,80.0,0.1107,18.851942453488373,4.114570523090206,3.70613090893146,1062.0,68.5,0.421777,6.01,15.83437110465116,1.9579365737931027,3.4267938127450983,1320.0
